"Tabela 1364 - Número de municípios, total e os com serviço de abastecimento de água, por tipo de tratamento da água"
"Variável - Municípios com serviço de abastecimento de água por rede geral de distribuição (Unidades)"
"Brasil, Unidade da Federação e Município";"Ano x Existência e tipo de tratamento da água"
"Brasil, Unidade da Federação e Município";"2000";;;;;;;;"2008";;;;;;;;"2017"
"Brasil, Unidade da Federação e Município";"Total geral de municípios";"Total de municípios abastecidos";"Total de municípios com tratamento";"Convencional";"Não-convencional";"Simples desinfecção (cloração e outros)";"Fluoretação";"Sem tratamento";"Total geral de municípios";"Total de municípios abastecidos";"Total de municípios com tratamento";"Convencional";"Não-convencional";"Simples desinfecção (cloração e outros)";"Fluoretação";"Sem tratamento";"Total geral de municípios";"Total de municípios abastecidos";"Total de municípios com tratamento";"Convencional";"Não-convencional";"Simples desinfecção (cloração e outros)";"Fluoretação";"Sem tratamento"
"Carnaubeira da Penha (PE)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Carpina (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Caruaru (PE)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-"
"Casinhas (PE)";"1";"-";"-";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Catende (PE)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Cedro (PE)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Chã de Alegria (PE)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"1";"-";"-"
"Chã Grande (PE)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"1";"-";"-"
"Condado (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Correntes (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"1";"1";"-"
"Cortês (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"1";"1";"-";"-"
"Cumaru (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Cupira (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Custódia (PE)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Dormentes (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Escada (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-"
"Exu (PE)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Feira Nova (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Fernando de Noronha (PE)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"1";"1";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Ferreiros (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-"
"Flores (PE)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Floresta (PE)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"-";"1";"1";"-";"-";"1";"1";"1";"-";"1";"1";"-";"-"
"Frei Miguelinho (PE)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Gameleira (PE)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"-";"1";"1";"1";"-"
"Garanhuns (PE)";"1";"1";"1";"1";"1";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-";"1";"1";"1";"1";"1";"1";"-";"-"
"Glória do Goitá (PE)";"1";"1";"1";"-";"1";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Goiana (PE)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Granito (PE)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Gravatá (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Iati (PE)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Ibimirim (PE)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Ibirajuba (PE)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Igarassu (PE)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Iguaracy (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-"
"Inajá (PE)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-"
"Ingazeira (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Ipojuca (PE)";"1";"1";"1";"1";"1";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-"
"Ipubi (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"1";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Itacuruba (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Itaíba (PE)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Ilha de Itamaracá (PE)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Itambé (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"1";"1";"-";"-"
"Itapetim (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-"
"Itapissuma (PE)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Itaquitinga (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"1";"-";"-"
"Jaboatão dos Guararapes (PE)";"1";"1";"1";"1";"1";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-"
"Jaqueira (PE)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Jataúba (PE)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Jatobá (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"1";"-";"-"
"João Alfredo (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Joaquim Nabuco (PE)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Jucati (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Jupi (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Jurema (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Lagoa do Carro (PE)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Lagoa de Itaenga (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Lagoa do Ouro (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"-";"1";"1";"-";"-"
"Lagoa dos Gatos (PE)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"-";"1";"1";"-";"-"
"Lagoa Grande (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Lajedo (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Limoeiro (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-"
"Macaparana (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"1";"1";"-";"-"
"Machados (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Manari (PE)";"1";"-";"-";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Maraial (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Mirandiba (PE)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"1";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Moreno (PE)";"1";"1";"1";"1";"1";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-"
"Nazaré da Mata (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Olinda (PE)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-"
"Orobó (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Orocó (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"1";"-";"-"
"Ouricuri (PE)";"1";"1";"1";"-";"1";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Palmares (PE)";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Palmeirina (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"-"
"Panelas (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-"
"Paranatama (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Parnamirim (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-"
"Passira (PE)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Paudalho (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Paulista (PE)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Pedra (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Pesqueira (PE)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-"
"Petrolândia (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Petrolina (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-"
"Poção (PE)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Pombos (PE)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Primavera (PE)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Quipapá (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Quixaba (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Recife (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Riacho das Almas (PE)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Ribeirão (PE)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Rio Formoso (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-"
"Sairé (PE)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Salgadinho (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Salgueiro (PE)";"1";"1";"1";"1";"1";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-"
"Saloá (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Sanharó (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Santa Cruz (PE)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Santa Cruz da Baixa Verde (PE)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Santa Cruz do Capibaribe (PE)";"1";"1";"1";"1";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-"
"Santa Filomena (PE)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Santa Maria da Boa Vista (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Santa Maria do Cambucá (PE)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Santa Terezinha (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"São Benedito do Sul (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"São Bento do Una (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"São Caitano (PE)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"São João (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"São Joaquim do Monte (PE)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"São José da Coroa Grande (PE)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"São José do Belmonte (PE)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"São José do Egito (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"São Lourenço da Mata (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-"
"São Vicente Férrer (PE)";"1";"1";"1";"1";"1";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Serra Talhada (PE)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Serrita (PE)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Sertânia (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Sirinhaém (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-"
"Moreilândia (PE)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Solidão (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-"
"Surubim (PE)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Tabira (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Tacaimbó (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Tacaratu (PE)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Tamandaré (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Taquaritinga do Norte (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Terezinha (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Terra Nova (PE)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Timbaúba (PE)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Toritama (PE)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Tracunhaém (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Trindade (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Triunfo (PE)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"1";"1";"-";"-"
"Tupanatinga (PE)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Tuparetama (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Venturosa (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Verdejante (PE)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Vertente do Lério (PE)";"1";"-";"-";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Vertentes (PE)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Vicência (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-"
"Vitória de Santo Antão (PE)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Xexéu (PE)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Água Branca (AL)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"1";"1";"-";"-"
"Anadia (AL)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Arapiraca (AL)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Atalaia (AL)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"1";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Barra de Santo Antônio (AL)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Barra de São Miguel (AL)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Batalha (AL)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Belém (AL)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Belo Monte (AL)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Boca da Mata (AL)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Branquinha (AL)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"-"
"Cacimbinhas (AL)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Cajueiro (AL)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-"
"Campestre (AL)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1";"1";"-";"-";"-";"-";"-";"-";"-"
"Campo Alegre (AL)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Campo Grande (AL)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
